Block,Plate_number,Bacterial_strain,C.elegans_strain,Date_time_picked,Date_time_counted,Worms_ON,Worms_OFF,N_dead_worms,N_burrowed,Excl_from_sub20
1,1,OP50,N2,11/4/21 13:36,11/5/21 8:45,20,0,,,0
1,1,OP50,N2,11/4/21 13:36,11/5/21 14:12,20,0,,,0
1,2,Db10,CB4856,11/4/21 13:40,11/5/21 8:48,7,12,,,0
1,2,Db10,CB4856,11/4/21 13:40,11/5/21 14:17,5,15,,,0
1,3,Db10,CB4856,11/4/21 13:58,11/5/21 8:59,9,10,,,0
1,3,Db10,CB4856,11/4/21 13:58,11/5/21 14:35,3,12,,,0
1,4,Db10,N2,11/4/21 14:01,11/5/21 9:13,0,20,,,0
1,4,Db10,N2,11/4/21 14:01,11/5/21 14:43,0,19,,,0
1,5,Db10,CB4856,11/4/21 14:20,11/5/21 9:19,5,15,,,0
1,5,Db10,CB4856,11/4/21 14:20,11/5/21 14:49,3,16,,,0
1,6,Db10,N2,11/4/21 14:25,11/5/21 9:27,5,15,,,0
1,6,Db10,N2,11/4/21 14:25,11/5/21 14:53,1,18,,,0
1,7,OP50,N2,11/4/21 14:37,11/5/21 9:34,20,0,,,0
1,7,OP50,N2,11/4/21 14:37,11/5/21 14:56,20,0,,,0
1,8,OP50,CB4856,11/4/21 14:49,11/5/21 9:37,20,0,,,0
1,8,OP50,CB4856,11/4/21 14:49,11/5/21 15:02,20,0,,,0
1,9,OP50,CB4856,11/4/21 14:55,11/5/21 9:41,20,0,,,0
1,9,OP50,CB4856,11/4/21 14:55,11/5/21 15:09,20,0,,,0
1,10,OP50,N2,11/4/21 15:15,11/5/21 9:45,20,0,,,0
1,10,OP50,N2,11/4/21 15:15,11/5/21 15:15,18,1,,,0
1,11,Db10,CB4856,11/4/21 15:17,11/5/21 10:08,4,15,,,0
1,11,Db10,CB4856,11/4/21 15:17,11/5/21 15:22,5,15,,,0
1,12,Db10,N2,11/4/21 15:22,11/5/21 10:15,6,10,1,,1
1,12,Db10,N2,11/4/21 15:22,11/5/21 15:30,0,17,1,,1
1,13,Db10,N2,11/4/21 15:38,11/5/21 10:43,2,18,,,0
1,13,Db10,N2,11/4/21 15:38,11/5/21 15:45,1,18,,,0
1,14,Db10,N2,11/4/21 15:48,11/5/21 10:48,1,18,1,,1
1,14,Db10,N2,11/4/21 15:48,11/5/21 15:52,0,17,1,,1
1,15,OP50,CB4856,11/4/21 16:08,11/5/21 10:55,20,0,,,0
1,15,OP50,CB4856,11/4/21 16:08,11/5/21 15:59,20,0,,,0
1,16,Db10,CB4856,11/4/21 16:15,11/5/21 11:05,5,12,,,0
1,16,Db10,CB4856,11/4/21 16:15,11/5/21 16:06,1,16,,,0
1,17,OP50,CB4856,11/4/21 16:20,11/5/21 11:15,20,0,,,0
1,17,OP50,CB4856,11/4/21 16:20,11/5/21 16:14,19,1,,,0
1,18,OP50,N2,11/4/21 16:23,11/5/21 11:19,20,0,,,0
1,18,OP50,N2,11/4/21 16:23,11/5/21 16:18,20,0,,,0
1,19,OP50,N2,11/4/21 16:32,11/5/21 11:21,19,1,,,0
1,19,OP50,N2,11/4/21 16:32,11/5/21 16:23,20,0,,,0
1,20,OP50,N2,11/4/21 16:42,11/5/21 11:25,19,0,,,0
1,20,OP50,N2,11/4/21 16:42,11/5/21 16:27,18,0,,,0
1,21,OP50,CB4856,11/4/21 16:45,11/5/21 11:28,18,2,,,0
1,21,OP50,CB4856,11/4/21 16:45,11/5/21 16:33,18,0,,,0
1,22,Db10,N2,11/4/21 16:47,11/5/21 11:33,3,16,1,,1
1,22,Db10,N2,11/4/21 16:47,11/5/21 16:38,1,16,1,,1
1,23,Db10,CB4856,11/4/21 16:51,11/5/21 11:39,7,13,,,0
1,23,Db10,CB4856,11/4/21 16:51,11/5/21 16:43,2,18,,,0
1,24,OP50,CB4856,11/4/21 17:05,11/5/21 11:55,17,0,,,0
1,24,OP50,CB4856,11/4/21 17:05,11/5/21 16:50,15,0,,,0
2,1,Db10,MY23,11/11/21 13:24,11/12/21 8:40,5,8,,,0
2,1,Db10,MY23,11/11/21 13:24,11/12/21 13:53,1,8,,,0
2,2,OP50,N2,11/11/21 13:25,11/12/21 9:05,20,0,,,0
2,2,OP50,N2,11/11/21 13:25,11/12/21 14:00,19,1,,,0
2,3,Db10,MY23,11/11/21 13:25,11/12/21 9:15,1,13,,,0
2,3,Db10,MY23,11/11/21 13:25,11/12/21 14:11,0,11,,,0
2,4,OP50,MY23,11/11/21 13:31,11/12/21 9:19,20,0,,,0
2,4,OP50,MY23,11/11/21 13:31,11/12/21 14:13,20,0,,,0
2,5,Db10,N2,11/11/21 13:53,11/12/21 9:23,0,20,,,0
2,5,Db10,N2,11/11/21 13:53,11/12/21 14:17,1,14,,,0
2,6,Db10,ED3017,11/11/21 14:03,11/12/21 9:35,1,16,1,,1
2,6,Db10,ED3017,11/11/21 14:03,11/12/21 14:27,0,15,1,,1
2,7,Db10,ED3017,11/11/21 14:04,11/12/21 9:46,2,18,,,0
2,7,Db10,ED3017,11/11/21 14:04,11/12/21 14:35,0,20,,,0
2,8,OP50,N2,11/11/21 14:07,11/12/21 9:54,20,0,,,0
2,8,OP50,N2,11/11/21 14:07,11/12/21 14:37,18,1,,,0
2,9,OP50,MY23,11/11/21 14:19,11/12/21 9:58,17,0,,3,0
2,9,OP50,MY23,11/11/21 14:19,11/12/21 14:41,10,0,,10,0
2,10,OP50,MY23,11/11/21 14:30,11/12/21 10:01,18,2,,,0
2,10,OP50,MY23,11/11/21 14:30,11/12/21 14:49,16,0,,2,0
2,11,OP50,ED3017,11/11/21 14:31,11/12/21 10:11,17,0,,,0
2,11,OP50,ED3017,11/11/21 14:31,11/12/21 14:59,14,3,,,0
2,12,Db10,N2,11/11/21 14:52,11/12/21 10:15,1,19,,,0
2,12,Db10,N2,11/11/21 14:52,11/12/21 15:06,0,20,,,0
2,13,OP50,ED3017,11/11/21 15:00,11/12/21 10:22,20,0,,,0
2,13,OP50,ED3017,11/11/21 15:00,11/12/21 15:14,18,2,,,0
2,14,OP50,ED3017,11/11/21 15:00,11/12/21 10:40,20,0,,,0
2,14,OP50,ED3017,11/11/21 15:00,11/12/21 15:21,19,0,,,0
2,15,Db10,ED3017,11/11/21 15:08,11/12/21 10:42,0,17,,,0
2,15,Db10,ED3017,11/11/21 15:08,11/12/21 15:37,0,14,,,0
2,16,Db10,MY23,11/11/21 15:10,11/12/21 10:54,1,17,,,0
2,16,Db10,MY23,11/11/21 15:10,11/12/21 15:45,0,18,,,0
2,17,Db10,ED3017,11/11/21 15:30,11/12/21 11:15,3,17,,,0
2,17,Db10,ED3017,11/11/21 15:30,11/12/21 15:53,0,18,,,0
2,18,OP50,ED3017,11/11/21 15:40,11/12/21 11:20,19,1,,,0
2,18,OP50,ED3017,11/11/21 15:40,11/12/21 16:02,20,0,,,0
2,19,Db10,ED3017,11/11/21 15:48,11/12/21 11:30,3,15,,,0
2,19,Db10,ED3017,11/11/21 15:48,11/12/21 16:10,0,16,,,0
2,20,Db10,ED3017,11/11/21 15:49,11/12/21 11:53,2,15,,,0
2,20,Db10,ED3017,11/11/21 15:49,11/12/21 16:18,1,17,,,0
2,21,OP50,MY23,11/11/21 15:55,11/12/21 11:57,20,0,,,0
2,21,OP50,MY23,11/11/21 15:55,11/12/21 16:21,19,1,,,0
2,22,OP50,MY23,11/11/21 16:10,11/12/21 12:01,10,0,,10,0
2,22,OP50,MY23,11/11/21 16:10,11/12/21 16:23,10,0,,10,0
2,23,Db10,MY23,11/11/21 16:19,11/12/21 12:15,0,12,,,0
2,23,Db10,MY23,11/11/21 16:19,11/12/21 16:29,0,11,,,0
2,24,OP50,N2,11/11/21 16:19,11/12/21 12:15,16,2,,,0
2,24,OP50,N2,11/11/21 16:19,11/12/21 16:32,18,0,,,0
2,25,OP50,MY23,11/11/21 16:21,11/12/21 12:17,20,0,,,0
2,25,OP50,MY23,11/11/21 16:21,11/12/21 16:34,20,0,,,0
2,26,Db10,MY23,11/11/21 16:31,11/12/21 12:28,0,17,,,0
2,26,Db10,MY23,11/11/21 16:31,11/12/21 16:40,0,15,,,0
2,27,Db10,MY23,11/11/21 16:44,11/12/21 12:31,1,19,,,0
2,27,Db10,MY23,11/11/21 16:44,11/12/21 16:42,0,20,,,0
2,28,Db10,N2,11/11/21 16:44,11/12/21 12:33,2,18,,,0
2,28,Db10,N2,11/11/21 16:44,11/12/21 16:47,2,18,,,0
2,29,OP50,ED3017,11/11/21 17:13,11/12/21 12:35,20,0,,,0
2,29,OP50,ED3017,11/11/21 17:13,11/12/21 16:49,18,0,,,0
2,30,OP50,ED3017,11/11/21 17:09,11/12/21 12:41,10,0,,10,0
2,30,OP50,ED3017,11/11/21 17:09,11/12/21 16:55,10,0,,8,0
3,1,Db10,LKC34,11/18/21 13:09,11/19/21 9:25,10,5,,,0
3,1,Db10,LKC34,11/18/21 13:09,11/19/21 13:55,7,13,,,0
3,2,Db10,LKC34,11/18/21 13:15,11/19/21 9:35,3,17,,,0
3,2,Db10,LKC34,11/18/21 13:15,11/19/21 14:03,0,19,,,0
3,3,Db10,JU775,11/18/21 13:21,11/19/21 9:45,5,14,,,0
3,3,Db10,JU775,11/18/21 13:21,11/19/21 14:11,3,15,,,0
3,4,OP50,N2,11/18/21 13:25,11/19/21 9:49,19,1,,,0
3,4,OP50,N2,11/18/21 13:25,11/19/21 14:14,16,4,,,0
3,5,Db10,N2,11/18/21 13:27,11/19/21 9:57,0,18,2,,2
3,5,Db10,N2,11/18/21 13:27,11/19/21 14:19,0,16,2,,2
3,6,Db10,LKC34,11/18/21 13:35,11/19/21 10:10,5,15,,,0
3,6,Db10,LKC34,11/18/21 13:35,11/19/21 14:27,3,15,1,,1
3,7,OP50,JU775,11/18/21 13:40,11/19/21 10:17,14,6,,,0
3,7,OP50,JU775,11/18/21 13:40,11/19/21 14:32,16,3,,,0
3,8,Db10,JU775,11/18/21 13:48,11/19/21 10:22,2,18,,,0
3,8,Db10,JU775,11/18/21 13:48,11/19/21 14:37,1,19,,,0
3,9,OP50,LKC34,11/18/21 14:00,11/19/21 10:26,14,6,,,0
3,9,OP50,LKC34,11/18/21 14:00,11/19/21 14:39,19,1,,,0
3,10,OP50,LKC34,11/18/21 14:00,11/19/21 10:32,12,8,,,0
3,10,OP50,LKC34,11/18/21 14:00,11/19/21 14:42,12,8,,,0
3,11,Db10,N2,11/18/21 14:12,11/19/21 10:42,0,19,,,0
3,11,Db10,N2,11/18/21 14:12,11/19/21 14:49,0,17,,,0
3,12,Db10,JU775,11/18/21 14:15,11/19/21 10:47,4,16,,,0
3,12,Db10,JU775,11/18/21 14:15,11/19/21 14:54,1,18,,,0
3,13,Db10,LKC34,11/18/21 14:27,11/19/21 10:58,6,14,,,0
3,13,Db10,LKC34,11/18/21 14:27,11/19/21 15:00,0,18,,,0
3,14,OP50,JU775,11/18/21 14:36,11/19/21 11:05,11,9,,,0
3,14,OP50,JU775,11/18/21 14:36,11/19/21 15:03,16,4,,,0
3,15,OP50,LKC34,11/18/21 14:56,11/19/21 11:08,15,5,,,0
3,15,OP50,LKC34,11/18/21 14:56,11/19/21 15:06,16,4,,,0
3,16,Db10,N2,11/18/21 15:15,11/19/21 11:14,2,17,,,0
3,16,Db10,N2,11/18/21 15:15,11/19/21 15:11,0,18,,,0
3,17,Db10,JU775,11/18/21 15:25,11/19/21 11:21,4,16,,,0
3,17,Db10,JU775,11/18/21 15:25,11/19/21 15:16,1,19,,,0
3,18,OP50,LKC34,11/18/21 15:44,11/19/21 11:24,16,4,,,0
3,18,OP50,LKC34,11/18/21 15:44,11/19/21 15:18,16,4,,,0
3,19,OP50,JU775,11/18/21 15:44,11/19/21 11:28,17,3,,,0
3,19,OP50,JU775,11/18/21 15:44,11/19/21 15:21,17,3,,,0
3,20,Db10,LKC34,11/18/21 15:50,11/19/21 11:34,3,17,,,0
3,20,Db10,LKC34,11/18/21 15:50,11/19/21 15:25,1,19,,,0
3,21,Db10,JU775,11/18/21 15:55,11/19/21 11:46,6,13,,,0
3,21,Db10,JU775,11/18/21 15:55,11/19/21 15:39,2,13,,,0
3,22,OP50,N2,11/18/21 16:05,11/19/21 11:47,18,2,,,0
3,22,OP50,N2,11/18/21 16:05,11/19/21 15:41,18,2,,,0
3,23,Db10,LKC34,11/18/21 16:13,11/19/21 11:52,7,13,,,0
3,23,Db10,LKC34,11/18/21 16:13,11/19/21 15:45,1,19,,,0
3,24,OP50,LKC34,11/18/21 16:14,11/19/21 11:56,13,7,,,0
3,24,OP50,LKC34,11/18/21 16:14,11/19/21 15:47,16,4,,,0
3,25,OP50,JU775,11/18/21 16:23,11/19/21 11:59,12,8,,,0
3,25,OP50,JU775,11/18/21 16:23,11/19/21 15:50,18,2,,,0
3,26,OP50,JU775,11/18/21 16:34,11/19/21 12:01,13,7,,,0
3,26,OP50,JU775,11/18/21 16:34,11/19/21 15:54,16,3,,,0
3,27,OP50,LKC34,11/18/21 16:36,11/19/21 12:06,13,7,,,0
3,27,OP50,LKC34,11/18/21 16:36,11/19/21 15:55,16,4,,,0
3,28,OP50,N2,11/18/21 16:42,11/19/21 12:07,20,0,,,0
3,28,OP50,N2,11/18/21 16:42,11/19/21 15:57,18,2,,,0
3,29,Db10,JU775,11/18/21 16:42,11/19/21 12:17,10,7,,,0
3,29,Db10,JU775,11/18/21 16:42,11/19/21 16:06,6,11,,,0
3,30,OP50,JU775,11/18/21 17:04,11/19/21 12:21,12,8,,,0
3,30,OP50,JU775,11/18/21 17:04,11/19/21 16:10,13,7,,,0
