Block,Strain,Plate,Drop,Count_20ul,Burrowing_exclude
1,CX11314,1,1,8,0
1,CX11314,1,2,20,0
1,CX11314,1,3,13.67,0
1,CX11314,1,4,21,0
1,CX11314,1,5,12,0
1,CX11314,1,6,9,0
1,N2,3,1,14.67,0
1,N2,3,2,18.33,0
1,N2,3,3,18.67,0
1,N2,3,4,18,0
1,N2,1,1,15,0
1,N2,1,2,11,0
1,N2,1,3,8.67,0
1,N2,1,4,13,0
1,JU258,3,1,11,1
1,JU258,3,2,9.67,1
1,JU258,3,3,8.67,1
1,JU258,3,4,8,1
1,CX11314,3,1,8,0
1,CX11314,3,2,10,0
1,CX11314,3,3,8,0
1,CX11314,3,4,10,0
1,N2,4,1,12,0
1,N2,4,2,13,0
1,N2,4,3,15.33,0
1,N2,4,4,13,0
1,JU258,4,1,14,0
1,JU258,4,2,9,0
1,JU258,4,3,10,0
1,JU258,4,4,17.67,0
1,JU258,4,5,13,0
1,JU258,4,6,6,0
1,CX11314,4,1,15,0
1,CX11314,4,2,9.67,0
1,CX11314,4,3,8,0
1,CX11314,4,4,9.67,0
1,CX11314,4,5,18,0
1,CX11314,4,6,12,0
1,JU258,1,1,9.33,0
1,JU258,1,2,14.67,0
1,JU258,1,3,12,0
1,JU258,1,4,21.67,0
1,JU258,1,5,17,0
1,JU258,1,6,10,0
1,JU258,2,1,5,0
1,JU258,2,2,9,0
1,JU258,2,3,7,0
1,JU258,2,4,5,0
1,CX11314,5,1,5,0
1,CX11314,5,2,7,0
1,CX11314,5,3,4,0
1,CX11314,5,4,8,0
1,JU258,5,1,7,0
1,JU258,5,2,13,0
1,JU258,5,3,7,0
1,JU258,5,4,19,0
1,JU258,5,5,8,0
1,JU258,5,6,9,0
1,N2,5,1,17,0
1,N2,5,2,21,0
1,N2,5,3,24.67,0
1,N2,5,4,10.67,0
1,N2,5,5,17,0
1,N2,5,6,22,0
1,N2,2,1,13,0
1,N2,2,2,12,0
1,N2,2,3,9,0
1,N2,2,4,7,0
1,N2,2,5,11,0
1,N2,2,6,11,0
1,CX11314,2,1,8,0
1,CX11314,2,2,10,0
1,CX11314,2,3,13,0
1,CX11314,2,4,7,0
1,CX11314,2,5,10,0
1,CX11314,2,6,8,0
2,MY23,3,1,13,0
2,MY23,3,2,17.33,0
2,MY23,3,3,15,0
2,MY23,3,4,8,0
2,MY23,3,5,12.67,0
2,MY23,3,6,8.67,0
2,MY23,4,1,4,0
2,MY23,4,2,7,0
2,MY23,4,3,6,0
2,MY23,4,4,6,0
2,CB4856,1,1,5,0
2,CB4856,1,2,9.67,0
2,CB4856,1,3,3,0
2,CB4856,1,4,4,0
2,CB4856,1,5,4.67,0
2,CB4856,1,6,7.67,0
2,CB4856,2,1,2,0
2,CB4856,2,2,3,0
2,CB4856,2,3,5,0
2,CB4856,2,4,4,0
2,MY23,2,1,5,0
2,MY23,2,2,8.33,0
2,MY23,2,3,7,0
2,MY23,2,4,2,0
2,MY23,2,5,6,0
2,MY23,2,6,5,0
2,CB4856,5,1,2,0
2,CB4856,5,2,9,0
2,CB4856,5,3,4,0
2,CB4856,5,4,1,0
2,CB4856,5,5,4,0
2,CB4856,5,6,3,0
2,N2,2,1,18,0
2,N2,2,2,14.67,0
2,N2,2,3,11,0
2,N2,2,4,8,0
2,N2,2,5,13,0
2,N2,2,6,9.67,0
2,CB4856,4,1,7,0
2,CB4856,4,2,6,0
2,CB4856,4,3,9,0
2,CB4856,4,4,5,0
2,CB4856,4,5,7,0
2,CB4856,4,6,5,0
2,MY23,5,1,10,0
2,MY23,5,2,17,0
2,MY23,5,3,9,0
2,MY23,5,4,10,0
2,N2,3,1,6,0
2,N2,3,2,13.3,0
2,N2,3,3,13.3,0
2,N2,3,4,10.3,0
2,N2,3,5,13,0
2,N2,3,6,17,0
